gvkey,tic,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001172,APSI.1,007926108,,C,01,LC,15916,321,1983-06-24,1985-09-29
001172,APSI.1,007926108,,C,01,LC,15916,321,1986-07-10,1986-12-31
001173,AIM.1,008015307,0000109471,C,01,LU,11157,376,1975-02-28,2013-06-28
001173,AIM.1,008015307,0000109471,C,00X,LU,11157,376,1973-02-01,1975-02-27
001174,AERO.,008050106,,C,01,LC,11165,22254,1972-12-14,1979-12-31
001175,AVX.2,008086100,0000002636,P,01,LU,44396,24752,1967-05-03,1973-05-31
001177,AET,00817Y108,0001122304,P,01,LC,88845,41072,2000-12-14,2018-11-30
001177,AET,00817Y108,0001122304,P,01,LC,46850,20026,1968-09-24,2000-12-13
001178,AFBK.,008182107,0000002682,P,01,LU,11173,94,1974-01-31,1992-11-30
001178,AFBK.,008182107,0000002682,C,00X,LU,11173,94,1974-01-01,1974-01-30
001179,AFD,008185100,0000002684,P,01,LU,52310,25242,1978-01-31,1982-01-29
001179,AFD,008185100,0000002684,C,00X,LU,52310,25242,1974-01-01,1978-01-30
001180,AFH.1,008230104,,P,01,LU,50569,25134,1970-05-14,1985-02-21
001181,AFP.1,008262107,0000849696,P,01,LC,57349,25566,1973-08-09,1989-05-31
001181,AFP.1,008262107,0000849696,P,01,LC,75618,22086,1989-06-08,1993-10-01
001182,TUX.1,008315103,0000002741,P,01,LU,57613,25577,1972-12-14,1984-09-28
001183,IDAI.,45169P106,0001004981,P,01,LC,11181,6059,1983-06-08,1998-03-09
001184,AGGY.1,008458101,0000353335,P,01,LC,11200,114,1981-09-11,1984-01-26
001186,AEM,008474108,0000002809,P,01,LC,78223,26174,1982-11-01,E
001188,AGOLC,008484107,,P,01,LU,11229,10132,1981-04-06,1983-05-31
001192,AGG.2,008644106,0000002850,P,01,LU,17232,22758,1962-01-31,1978-12-08
001192,AGG.2,008644106,0000002850,C,00X,LU,17232,22758,1949-08-01,1962-01-30
001194,AHM.1,008677106,0000771667,P,01,LU,56266,20028,1972-12-14,1998-10-30
001195,AASS,008708208,,C,00X,LU,11253,9,1974-01-01,1978-01-30
001195,AASS,008708208,,P,01,LU,11253,9,1978-01-31,1985-06-28
001196,AKN.1,008788101,0000002899,P,01,LU,44820,24779,1968-01-31,1976-09-30
001197,AEENQ,008878100,0000002904,C,01,LU,39116,20029,1963-04-23,1995-07-14
001199,AIDI,008900102,,C,01,LU,11280,135,1979-05-11,1980-08-11
001200,AIAO,009086109,0000002926,P,01,LC,11288,31,1972-12-14,1973-05-31
001201,ARCE.1,009095100,0000002929,P,01,LU,11296,330,1979-01-31,1988-12-30
001202,ACHPQ,009100108,0000352059,P,01,LC,11309,39,1981-07-09,1983-08-24
001203,AEIC,009104100,0000700674,C,01,LU,61081,143,1973-01-31,2000-02-29
001204,AIRQC,009114109,,C,00X,LU,11317,144,1973-08-01,1979-01-30
001204,AIRQC,009114109,,C,01,LU,11317,144,1979-01-31,1984-08-16
001206,AIRI.1,009122102,,P,01,LC,11325,22268,1972-12-14,1973-12-31
001208,AMWI.,009135104,0000310454,P,01,LU,11341,5678,1982-11-05,1991-07-31
001209,APD,009158106,0000002969,P,01,LC,28222,20030,1962-01-31,E
001210,AIRT,009207101,0000353184,P,01,LC,11368,6977,1984-04-23,E
001211,AWT.,009230103,,C,00X,LC,43756,24706,1966-09-06,1968-12-31
001212,ARWS,009236100,0000717324,P,01,LU,11376,359,1979-01-31,1992-01-31
001213,ABF,009269101,0000003000,P,01,LU,51721,20031,1971-01-05,2003-08-15
001214,ACF.1,000865105,0000793154,P,01,LU,67125,6325,1983-08-25,1987-04-30
001215,AN.1,009292103,0000003010,P,01,LU,10102,22164,1962-01-31,1978-04-28
001215,AN.1,009292103,0000003010,C,00X,LU,10102,22164,1950-01-01,1962-01-30
001217,ALFT,009374109,0000003042,C,00X,LU,46244,161,1973-07-01,1978-06-29
001217,ALFT,009374109,0000003042,C,01,LU,46244,161,1978-06-30,1980-11-03
001218,AXE.1,009446105,0000003050,P,01,LU,44775,24775,1967-08-03,1976-04-30
001219,AWI.1,009536301,0000003086,P,01,LC,47378,24936,1968-12-19,1974-05-31
001220,AJX.1,009644105,0000003094,P,01,LC,41793,24562,1965-04-07,1975-07-31
001221,AXO.2,010202109,,P,01,LU,25662,23350,1962-01-31,1982-08-31
001222,ALA.2,010207108,0000353502,P,01,LC,63415,25710,1982-01-29,1988-04-22
001222,ALA.2,010207108,0000353502,C,00X,LC,63415,25710,1982-01-01,1982-01-28
001226,AXO.1,010742203,0000355115,P,02,LU,64848,5335,1982-03-24,1997-08-29
001227,ATO.3,011240108,,P,01,LU,67133,25779,1985-01-07,1986-05-30
001228,ALAN,011612702,0000098618,C,02,LC,11456,5348,1988-08-23,1990-02-01
001228,ALAN,011612702,0000098618,C,02,LC,11456,5348,1982-05-14,1986-01-22
001228,ALAN,011612702,0000098618,C,02,LC,11456,5348,1990-04-23,2011-07-25
001229,ALTS.,011634102,0000003193,P,01,LU,11472,183,1972-12-14,1978-07-31
001230,ALK,011659109,0000766421,P,01,LU,28804,20035,1966-01-31,E
001232,ALKA,011723103,0000003241,P,01,LU,11520,167,1974-11-05,1979-08-31
001233,3ANWP,011750205,0000313809,C,01,LU,11536,285,1980-05-30,1987-06-18
001234,ATRI,049904105,0000701288,P,01,LU,11587,392,1972-12-14,E
001235,AWS.1,012041109,0000003292,P,01,LU,49584,20036,1969-11-25,1999-12-31
001236,ABY.,012347100,,P,01,LU,57998,132,1972-12-14,1983-07-29
001238,AOG.3,012873105,0000927600,P,01,LC,82233,27934,1995-09-21,2002-04-05
001239,ACV.1,013078100,0001368457,P,01,LC,42083,8127,1965-06-11,2011-05-10
001239,ACV.1,013078100,0001368457,J,02,LC,69163,8127,1986-04-23,2003-11-05
